Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"3 BHK Flat for Sale in Unitech Residency Greens, Greenwood City, Gurgaon",2.60 Cr,1540 sqft,Greenwood City,Semi-Furnished,1,3,Unitech Residency Greens
"4 BHK Flat for Sale in Palam Vihar, Gurgaon",3.30 Cr,2850 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"3 BHK Flat for Sale in RWA Builder Floor, Phase 2 DLF, Gurgaon",2.05 Cr,1950 sqft,Phase 2 DLF,Semi-Furnished,N/A,3,RWA Builder Floor
"4 BHK Flat for Sale in Phase 2 DLF, Gurgaon",5.95 Cr,415 sqyrd,Gurgaon,Semi-Furnished,N/A,5,N/A
"4 BHK Flat for Sale in DLF City Phase 1, Sector 26, Gurgaon",4.45 Cr,2160 sqft,Sector 26,Semi-Furnished,1,4,DLF City Phase 1
"3 BHK Flat for Sale in Hightown Residences, Block A Sushant Lok Phase I, Gurgaon",3.55 Cr,2150 sqft,Block A Sushant Lok Phase I,Semi-Furnished,1,4,Hightown Residences
"2 BHK Flat for Sale in Signature Global City 79B 1, Sector 79, Gurgaon",85.8 Lac,1055 sqft,Sector 79,Semi-Furnished,1,2,Signature Global City 79B 1
"2 BHK Flat for Sale in M3M Heights, Sector 65, Gurgaon",1.90 Cr,1310 sqft,Sector 65,Semi-Furnished,1,2,M3M Heights
"4 BHK Flat for Sale in DLF Project Alameda, Sector 73, Delhi Gurgaon Expressway, Gurgaon",4.50 Cr,2600 sqft,Sector 73,Semi-Furnished,2,4,DLF Project Alameda
"4 BHK Flat for Sale in Adani Brahma Samsara, Sector 63, Gurgaon",3.70 Cr,1367 sqft,Sector 63,Semi-Furnished,N/A,4,Adani Brahma Samsara
"3 BHK Flat for Sale in Sector 5, Gurgaon",1.55 Cr,1600 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"4 BHK Flat for Sale in Sushant Plaza, Sushant Lok, Gurgaon",2.85 Cr,1850 sqft,Sushant Lok,Semi-Furnished,2,4,Sushant Plaza
"5 BHK Flat for Sale in La Lagune Gurgaon, Golf Course Road, Gurgaon",9 Cr,5100 sqft,Golf Course Road,Semi-Furnished,3,6,La Lagune Gurgaon
"4 BHK Flat for Sale in Palam Vihar Residential Society, Palam Vihar, Gurgaon",2.30 Cr,360 sqyrd,Palam Vihar,Semi-Furnished,N/A,4,Palam Vihar Residential Society
"2 BHK Flat for Sale in Puri Emerald Bay, Sector 104, Gurgaon",1.65 Cr,1300 sqft,Sector 104,Unfurnished,1,3,Puri Emerald Bay
"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",2.60 Cr,2400 sqft,Sector 48,Semi-Furnished,1,5,Vipul World
"3 BHK Flat for Sale in Sector 51, Gurgaon",2.20 Cr,1950 sqft,Gurgaon,Semi-Furnished,N/A,3,N/A
"3 BHK Flat for Sale in Sector 57, Gurgaon",1.45 Cr,1800 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"4 BHK Flat for Sale in Phase 1 DLF, Gurgaon",5.95 Cr,3200 sqft,Gurgaon,Semi-Furnished,2,5,N/A
"4 BHK Villa for Sale in Malibu Town, Sector 47 Gurgaon",15 Cr,3125 sqft,Sector 47 Gurgaon,Semi-Furnished,4,6,N/A
"4 BHK Flat for Sale in Sector 22, Gurgaon",2.45 Cr,1800 sqft,Gurgaon,Semi-Furnished,N/A,4,N/A
"3 BHK Flat for Sale in Palam Vihar Residential Society, Pocket C Palam Vihar, Gurgaon",2.90 Cr,2650 sqft,Pocket C Palam Vihar,Furnished,2,3,Palam Vihar Residential Society
"3 BHK Flat for Sale in Huda Floors, Block A Sector 45, Gurgaon",2.18 Cr,1893 sqft,Block A Sector 45,Semi-Furnished,2,4,Huda Floors
"5 BHK Villa for Sale in The Legend, Sushant Lok 3, Sector 57 Gurgaon",9 Cr,8000 sqft,Sushant Lok 3,Semi-Furnished,2,5,The Legend
"3 BHK Flat for Sale in ILD Grand Centra, Garauli Kalan, Sector 37C, Delhi Gurgaon Expressway, Gurgaon",1.22 Cr,1500 sqft,Garauli Kalan,Semi-Furnished,1,3,ILD Grand Centra
"2 BHK Flat for Sale in GLS Arawali Homes, Sector 4 Sohna, Gurgaon",29 Lac,480 sqft,Sector 4 Sohna,Unfurnished,N/A,2,GLS Arawali Homes
"4 BHK Flat for Sale in Unitech Heritage City, Mehrauli Gurgaon Road, Gurgaon",4.26 Cr,3025 sqft,Mehrauli Gurgaon Road,Semi-Furnished,1,4,Unitech Heritage City
"3 BHK Flat for Sale in South City I, Gurgaon",2.33 Cr,1600 sqft,Gurgaon,Furnished,N/A,3,N/A
"3 BHK Flat for Sale in DLF Wellington Estate, Phase 5 DLF, Gurgaon",2.20 Cr,1000 sqft,Phase 5 DLF,Semi-Furnished,1,3,DLF Wellington Estate
"3 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",2.14 Cr,1630 sqft,Sector 61,Semi-Furnished,2,3,Smart World Orchard
"3 BHK Flat for Sale in Signature Global City 81, Sector 81, Gurgaon",1.13 Cr,1108 sqft,Sector 81,Semi-Furnished,1,2,Signature Global City 81
"4 BHK Flat for Sale in Sector 92, Gurgaon",1.50 Cr,1850 sqft,Gurgaon,Unfurnished,N/A,4,N/A
"3 BHK Flat for Sale in DLF Skycourt, Sector 86, Gurgaon",2 Cr,1930 sqft,Sector 86,Furnished,N/A,3,DLF Skycourt
"3 BHK Flat for Sale in Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1.80 Cr,1900 sqft,Delhi Gurgaon Expressway,Semi-Furnished,1,4,N/A
"2 BHK Flat for Sale in New Palam Vihar Phase 1, New Palam Vihar Sector 110, Gurgaon",37.2 Lac,1100 sqft,New Palam Vihar Sector 110,Semi-Furnished,2,2,New Palam Vihar Phase 1
"4 BHK Flat for Sale in Ambience Lagoon, Ambience Island, Sector 24, Delhi Gurgaon Expressway, Gurgaon",5.75 Cr,4400 sqft,Ambience Island,Semi-Furnished,3,6,Ambience Lagoon
"3 BHK Flat for Sale in Project Huda Colony, Sector 46, Gurgaon",1.69 Cr,1800 sqft,Sector 46,Semi-Furnished,1,3,Project Huda Colony
5 BHK Flat for Sale in Gurgaon,3.90 Cr,2700 sqft,N/A,Semi-Furnished,2,5,N/A
"2 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",83.7 Lac,950 sqft,Sector 48,Semi-Furnished,1,2,Vipul World
"2 BHK Flat for Sale in SS The Coralwood, Sector 84, Gurgaon",1.01 Cr,861 sqft,Sector 84,Unfurnished,N/A,2,SS The Coralwood
"4 BHK Flat for Sale in Ansal Esencia Amara Villas, Sector 67, Gurgaon",1.76 Cr,2100 sqft,Sector 67,Unfurnished,N/A,3,Ansal Esencia Amara Villas
"3 BHK Flat for Sale in Signature Global City 37D, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1.30 Cr,800 sqft,Sector 37D,Semi-Furnished,9,3,Signature Global City 37D
"3 BHK Flat for Sale in Sushant Lok Builder Floors, Sushant Lok, Gurgaon",2.28 Cr,1500 sqft,Sushant Lok,Semi-Furnished,2,3,Sushant Lok Builder Floors
"3 BHK Flat for Sale in Sector 10A, Delhi Gurgaon Expressway, Gurgaon",1 Cr,800 sqft,Delhi Gurgaon Expressway,Semi-Furnished,N/A,2,N/A
"4 BHK Flat for Sale in DLF The Arbour, Sector 63A, Gurgaon",7.91 Cr,3900 sqft,Sector 63A,Furnished,N/A,5,DLF The Arbour
"4 BHK Flat for Sale in DLF Moulsari Enclave, Phase 3 DLF, Gurgaon",5.98 Cr,3500 sqft,Phase 3 DLF,Furnished,N/A,5,DLF Moulsari Enclave
"3 BHK House for Sale in Sector 21 RWA, Sector 21 Gurgaon",5 Cr,6000 sqft,Sector 21 Gurgaon,Semi-Furnished,N/A,5,Sector 21 RWA
"3 BHK Flat for Sale in Sector 40, Gurgaon",2.40 Cr,2230 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"5 BHK Flat for Sale in Vipul Greens, Sector 48, Gurgaon",3.60 Cr,2800 sqft,Sector 48,Semi-Furnished,2,4,Vipul Greens
"4 BHK Flat for Sale in Sushant Lok 2 Sector 57, Gurgaon",4 Cr,3500 sqft,Gurgaon,Semi-Furnished,1,4,N/A
"4 BHK Flat for Sale in Sector 65, Gurgaon",2.80 Cr,1850 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"4 BHK Flat for Sale in Block B Sushant Lok Phase I, Gurgaon",2.90 Cr,2650 sqft,Gurgaon,Semi-Furnished,N/A,4,N/A
"3 BHK Flat for Sale in Raheja Vedaanta, Sector 108, Gurgaon",95 Lac,1900 sqft,Sector 108,Semi-Furnished,1,3,Raheja Vedaanta
"4 BHK Flat for Sale in Block C Sushant Lok Phase I, Gurgaon",4.75 Cr,2300 sqft,Gurgaon,Semi-Furnished,N/A,5,N/A
"5 BHK Flat for Sale in Aaron Ville, Sector 48, Gurgaon",5.50 Cr,456 sqyrd,Sector 48,Semi-Furnished,2,6,Aaron Ville
"5 BHK Flat for Sale in Elan The Presidential, Sector 106, Gurgaon",7 Cr,4495 sqft,Sector 106,Semi-Furnished,3,5,Elan The Presidential
4 BHK House for Sale in Phase 5 DLF Gurgaon,5.40 Cr,1383 sqft,N/A,Semi-Furnished,2,4,N/A
"2 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.06 Cr,1675 sqft,Sector 93,Semi-Furnished,N/A,2,Signature Global City 93
"4 BHK Flat for Sale in Aaron Ville, Sector 48, Gurgaon",2.09 Cr,2200 sqft,Sector 48,Unfurnished,N/A,4,Aaron Ville
> 10 BHK House for Sale in Sector 45 Gurgaon,20 Cr,4500 sqft,N/A,Furnished,N/A,> 10,N/A
"4 BHK Flat for Sale in Emaar The Palm Drive, Badshahpur, Gurgaon",6 Cr,3000 sqft,Badshahpur,Semi-Furnished,N/A,4,Emaar The Palm Drive
"5 BHK Flat for Sale in Sushant Lok 3, Sushant Lok 3, Sector 57, Gurgaon",2.70 Cr,4000 sqft,Sushant Lok 3,Semi-Furnished,4,5,Sushant Lok 3
"2 BHK Flat for Sale in Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",1.35 Cr,1359 sqft,Sector 102,Semi-Furnished,1,2,Shapoorji Pallonji Joyville Gurugram
3 BHK House for Sale in Sector 4 Gurgaon,5.46 Cr,420 sqm,N/A,Unfurnished,N/A,3,N/A
"3 BHK Flat for Sale in DLF Park Place, Sector 54, Gurgaon",6.25 Cr,1750 sqft,Sector 54,Semi-Furnished,N/A,3,DLF Park Place
"3 BHK Flat for Sale in Phase 2 DLF, Gurgaon",3.40 Cr,2000 sqft,Gurgaon,Semi-Furnished,1,4,N/A
"3 BHK Flat for Sale in Signature Global City 81, Sector 81, Gurgaon",1.10 Cr,1095 sqft,Sector 81,Unfurnished,1,2,Signature Global City 81
"4 BHK House for Sale in Saraswati Vihar, Sector 28 Gurgaon",2.58 Cr,145 sqyrd,Sector 28 Gurgaon,Unfurnished,2,2,N/A
"4 BHK Flat for Sale in Palam Vihar, Gurgaon",2.25 Cr,2550 sqft,Gurgaon,Semi-Furnished,2,4,N/A
4 BHK House for Sale in Sector 23 Gurgaon,2.70 Cr,1600 sqft,N/A,Unfurnished,1,4,N/A
"4 BHK Flat for Sale in Godrej Habitat , Sector 3, Gurgaon",2.45 Cr,1800 sqft,Sector 3,Unfurnished,N/A,4,Godrej Habitat
"3 BHK Flat for Sale in Godrej Frontier Gurgaon, Sector 80, Gurgaon",1.75 Cr,2200 sqft,Sector 80,Unfurnished,1,3,Godrej Frontier Gurgaon
"3 BHK Flat for Sale in Sector 63, Gurgaon",1.45 Cr,1500 sqft,Gurgaon,Semi-Furnished,N/A,3,N/A
"3 BHK Flat for Sale in Ashok Vihar Phase III Extension, Gurgaon",46.5 Lac,900 sqft,Gurgaon,Unfurnished,N/A,3,N/A
"4 BHK Flat for Sale in South City II, Gurgaon",4.88 Cr,4500 sqft,Gurgaon,Unfurnished,N/A,4,N/A
"4 BHK Flat for Sale in DLF The Arbour, Sector 63, Gurgaon",7.10 Cr,3950 sqft,Sector 63,Semi-Furnished,N/A,5,DLF The Arbour
4 BHK Villa for Sale in Block B Sushant Lok Phase I Gurgaon,10.12 Cr,315 sqyrd,N/A,Semi-Furnished,2,4,N/A
"4 BHK Flat for Sale in Golf Course Road, Gurgaon",9.50 Cr,5600 sqft,Gurgaon,Semi-Furnished,N/A,5,N/A
"3 BHK Flat for Sale in DLF Carlton Estate, Phase 5 DLF, Gurgaon",1.95 Cr,1150 sqft,Phase 5 DLF,Semi-Furnished,1,3,DLF Carlton Estate
"4 BHK Flat for Sale in Unitech Cedar Crest, Pocket H Nirvana Country, Gurgaon",6.80 Cr,3200 sqft,Pocket H Nirvana Country,Semi-Furnished,2,5,Unitech Cedar Crest
"4 BHK Flat for Sale in Block C Sushant Lok Phase I, Gurgaon",2.70 Cr,1325 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"4 BHK Flat for Sale in Sushant Lok, Gurgaon",3.50 Cr,1975 sqft,Gurgaon,Furnished,1,4,N/A
"2 BHK Flat for Sale in Satya Hermitage, Sector 103, Gurgaon",90 Lac,1100 sqft,Sector 103,Unfurnished,N/A,3,Satya Hermitage
"4 BHK House for Sale in Baldev Nagar, Sector 9 Gurgaon",50 Lac,500 sqft,Sector 9 Gurgaon,Unfurnished,N/A,3,N/A
"4 BHK Flat for Sale in Pocket F Palam Vihar, Gurgaon",3.72 Cr,500 sqyrd,Gurgaon,Semi-Furnished,3,5,N/A
"4 BHK Flat for Sale in Phase 3 DLF, Gurgaon",5.20 Cr,502 sqyrd,Gurgaon,Semi-Furnished,2,5,N/A
"3 BHK Flat for Sale in Sector 45, Gurgaon",1.86 Cr,1356 sqft,Gurgaon,Furnished,1,3,N/A
"4 BHK Flat for Sale in DLF City Independent Floors, Phase 3 DLF, Gurgaon",3.14 Cr,127 sqm,Phase 3 DLF,Furnished,N/A,4,DLF City Independent Floors
9 BHK House for Sale in Sector 43 Gurgaon,2.96 Cr,3000 sqft,N/A,Semi-Furnished,N/A,9,N/A
"4 BHK Flat for Sale in M3M Flora, Sector 68, Gurgaon",2.44 Cr,2582 sqft,Sector 68,Semi-Furnished,N/A,4,M3M Flora
"2 BHK Flat for Sale in Prime Habitat, Sector 99A, Delhi Gurgaon Expressway, Gurgaon",28.8 Lac,448 sqft,Sector 99A,Semi-Furnished,N/A,2,Prime Habitat
2 BHK House for Sale in Maruti Kunj Gurgaon,32.2 Lac,700 sqft,N/A,Semi-Furnished,N/A,2,N/A
"4 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",7.50 Cr,2650 sqft,Sector 59,Unfurnished,2,5,Mahindra Luminare
"3 BHK Flat for Sale in Sushant Lok 2 Sector 57, Gurgaon",2.70 Cr,263 sqyrd,Gurgaon,Unfurnished,N/A,3,N/A
"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",1.15 Cr,1750 sqft,Uppal Southend,Semi-Furnished,1,3,Uppal Southend
"3 BHK Flat for Sale in NBCC Heights, Sector 89, Gurgaon",1.30 Cr,1710 sqft,Sector 89,Semi-Furnished,1,3,NBCC Heights
"4 BHK Flat for Sale in Sushant Lok III Extension, Gurgaon",2.30 Cr,2200 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"4 BHK Flat for Sale in Emaar Mgf Emerald Floors , Sector 65, Gurgaon",3.25 Cr,1800 sqft,Sector 65,Semi-Furnished,2,4,Emaar Mgf Emerald Floors
"4 BHK Flat for Sale in Brisk Lumbini Terrace Homes, Sector 109, Gurgaon",1.60 Cr,1900 sqft,Sector 109,Semi-Furnished,3,4,Brisk Lumbini Terrace Homes
"3 BHK Flat for Sale in Sector 57, Gurgaon",2.15 Cr,254 sqyrd,Gurgaon,Semi-Furnished,1,3,N/A
"3 BHK Flat for Sale in orchid petals, Sector 49, Gurgaon",2.60 Cr,2061 sqft,Sector 49,Semi-Furnished,2,3,orchid petals
"2 BHK Flat for Sale in M3M Woodshire, Sector 107, Gurgaon",1 Cr,1336 sqft,Sector 107,Semi-Furnished,1,2,M3M Woodshire
"5 BHK Villa for Sale in Experion Windchants, Sector 112 Gurgaon",10.60 Cr,6500 sqft,Sector 112 Gurgaon,Unfurnished,3,6,Experion Windchants
"4 BHK Flat for Sale in Godrej Summit, Sector 104, Gurgaon",1.60 Cr,2000 sqft,Sector 104,Semi-Furnished,1,4,Godrej Summit
"3 BHK Flat for Sale in Luxury Floors Gurgaon, Phase 4 DLF, Gurgaon",2.25 Cr,2300 sqft,Phase 4 DLF,Semi-Furnished,N/A,3,Luxury Floors Gurgaon
"2 BHK Flat for Sale in GLS Arawali Homes, Sector 4 Sohna, Gurgaon",31 Lac,567 sqft,Sector 4 Sohna,Furnished,1,2,GLS Arawali Homes
"4 BHK Flat for Sale in Aradhya Homes, Sector 67A, Gurgaon",2.25 Cr,2100 sqft,Sector 67A,Semi-Furnished,N/A,4,Aradhya Homes
"3 BHK Flat for Sale in Block J Mayfield Garden, Gurgaon",1.35 Cr,2150 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"3 BHK Flat for Sale in Gulmohar Apartment, Sector 56, Gurgaon",1.90 Cr,2050 sqft,Sector 56,Unfurnished,1,4,Gulmohar Apartment
"3 BHK Flat for Sale in Adani M2K Oyster Grande, Sector 102, Gurgaon",1.80 Cr,1182 sqft,Sector 102,Unfurnished,1,3,Adani M2K Oyster Grande
"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",2.90 Cr,360 sqyrd,Sector 48,Semi-Furnished,2,4,Vipul World
"3 BHK Flat for Sale in Ramprastha Primera, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1.22 Cr,1620 sqft,Sector 37D,Semi-Furnished,N/A,3,Ramprastha Primera
"3 BHK Flat for Sale in Sector 56, Gurgaon",1.90 Cr,1800 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"4 BHK Flat for Sale in DLF Park Place, Sector 54, Gurgaon",7 Cr,1890 sqft,Sector 54,Unfurnished,3,4,DLF Park Place
"4 BHK Flat for Sale in Emaar The Palm Springs, Golf Course Road, Gurgaon",9.65 Cr,3886 sqft,Golf Course Road,Semi-Furnished,N/A,5,Emaar The Palm Springs
"4 BHK Flat for Sale in DLF City Plot Phase 2, Phase 2 DLF, Gurgaon",4.99 Cr,2400 sqft,Phase 2 DLF,Unfurnished,N/A,5,DLF City Plot Phase 2
"3 BHK Flat for Sale in Cancon Enclave, Sector 4, Gurgaon",74.8 Lac,1300 sqft,Sector 4,Semi-Furnished,N/A,2,Cancon Enclave
"3 BHK Flat for Sale in Shree Vardhman Flora, Sector 90, Gurgaon",95 Lac,1600 sqft,Sector 90,Unfurnished,1,4,Shree Vardhman Flora
"1 BHK Flat for Sale in Sector 56, Gurgaon",42 Lac,377 sqft,Gurgaon,Unfurnished,N/A,1,N/A
"2 BHK Flat for Sale in Conscient Habitat, Sector 99A, Delhi Gurgaon Expressway, Gurgaon",26.5 Lac,440 sqft,Sector 99A,Unfurnished,N/A,2,Conscient Habitat
"1 BHK Flat for Sale in Lotus Homz, Sector 111, Gurgaon",40 Lac,630 sqft,Sector 111,Unfurnished,1,1,Lotus Homz
"6 BHK Flat for Sale in Phase 2 DLF, Gurgaon",3.80 Cr,330 sqyrd,Gurgaon,Semi-Furnished,2,6,N/A
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1.23 Cr,1450 sqft,Sector 83,Semi-Furnished,2,3,SS Cendana
"4 BHK Flat for Sale in Unitech Heritage City, Mehrauli Gurgaon Road, Gurgaon",5.20 Cr,2500 sqft,Mehrauli Gurgaon Road,Unfurnished,N/A,4,Unitech Heritage City
"4 BHK Flat for Sale in Emaar Palm Hills, Sector 77, Delhi Gurgaon Expressway, Gurgaon",2.25 Cr,1365 sqft,Sector 77,Semi-Furnished,2,3,Emaar Palm Hills
"4 BHK Flat for Sale in Project Sushant Lok, Phase 4 DLF, Gurgaon",3.60 Cr,2000 sqft,Phase 4 DLF,Semi-Furnished,1,4,Project Sushant Lok
"4 BHK Flat for Sale in Phase 2 DLF, Gurgaon",4 Cr,2100 sqft,Gurgaon,Semi-Furnished,N/A,4,N/A
"4 BHK Flat for Sale in Omaxe The Nile, Sohna Gurgaon Road, Gurgaon",4.25 Cr,3500 sqft,Sohna Gurgaon Road,Unfurnished,1,5,Omaxe The Nile
"3 BHK Flat for Sale in Signature Global City 63A, Sector 63A, Gurgaon",2.13 Cr,1100 sqft,Sector 63A,Semi-Furnished,1,3,Signature Global City 63A
"5 BHK House for Sale in RWA Residential Society, Sector 23 Gurgaon",8.50 Cr,3600 sqft,Sector 23 Gurgaon,Semi-Furnished,1,2,RWA Residential Society
"4 BHK Flat for Sale in Sushant Lok, Gurgaon",5.50 Cr,4000 sqft,Gurgaon,Unfurnished,N/A,4,N/A
"4 BHK Flat for Sale in Emaar Mgf Emerald Floors , Sector 65, Gurgaon",3.50 Cr,3150 sqft,Sector 65,Semi-Furnished,2,3,Emaar Mgf Emerald Floors
"5 BHK Villa for Sale in Unitech The Villas, Sector 33 Gurgaon",9.90 Cr,5668 sqft,Sector 33 Gurgaon,Semi-Furnished,N/A,6,Unitech The Villas
"4 BHK Flat for Sale in Phase 4 DLF, Gurgaon",4.50 Cr,1800 sqft,Gurgaon,Semi-Furnished,N/A,4,N/A
"3 BHK Flat for Sale in Hero Homes, Sector 104, Gurgaon",1.56 Cr,1150 sqft,Sector 104,Unfurnished,1,3,Hero Homes
"3 BHK Flat for Sale in Sector 38, Gurgaon",1.72 Cr,2100 sqft,Gurgaon,Semi-Furnished,2,3,N/A
"4 BHK Flat for Sale in DLF City Phase 1, Phase 1 DLF, Gurgaon",5.03 Cr,355 sqyrd,Phase 1 DLF,Furnished,2,4,DLF City Phase 1
"3 BHK Flat for Sale in Luxury Builder Floors, Malibu Town, Sector 47, Gurgaon",1.85 Cr,1200 sqft,Malibu Town,Semi-Furnished,N/A,3,Luxury Builder Floors
"5 BHK Villa for Sale in The Legend, Sector 57 Gurgaon",9.55 Cr,6980 sqft,Sector 57 Gurgaon,Unfurnished,N/A,5,The Legend
"2 BHK Flat for Sale in Ashok Vihar 2, Phase II Ashok Vihar, Gurgaon",48 Lac,400 sqft,Phase II Ashok Vihar,Furnished,N/A,2,Ashok Vihar 2
5 BHK House for Sale in Phase 1 DLF Gurgaon,18.25 Cr,7500 sqft,N/A,Semi-Furnished,N/A,6,N/A
"3 BHK Flat for Sale in DLF Beverly Park, Mehrauli Gurgaon Road, Gurgaon",5.50 Cr,2750 sqft,Mehrauli Gurgaon Road,Semi-Furnished,3,4,DLF Beverly Park
"3 BHK Flat for Sale in Signature Global City 79B 1, Sector 79, Gurgaon",1.03 Cr,1275 sqft,Sector 79,Semi-Furnished,1,3,Signature Global City 79B 1
"4 BHK Flat for Sale in Bestech Apartment, Sector 92, Gurgaon",1.60 Cr,1900 sqft,Sector 92,Semi-Furnished,2,4,Bestech Apartment
"2 BHK Flat for Sale in Puri Emerald Bay, Sector 104, Gurgaon",1.55 Cr,1280 sqft,Sector 104,Semi-Furnished,2,3,Puri Emerald Bay
"3 BHK Flat for Sale in Sector 6, Gurgaon",60 Lac,1000 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"3 BHK Flat for Sale in Sector 4, Gurgaon",1.50 Cr,1450 sqft,Gurgaon,Semi-Furnished,N/A,3,N/A
"3 BHK Flat for Sale in Central Park Flower Valley Flamingo Floor, Sector 32 Sohna, Gurgaon",1.17 Cr,1230 sqft,Sector 32 Sohna,Unfurnished,N/A,2,Central Park Flower Valley Flamingo Floor
"3 BHK Flat for Sale in Phase 3 Sushant Lok, Gurgaon",2.40 Cr,2000 sqft,Gurgaon,Semi-Furnished,1,4,N/A
"3 BHK Flat for Sale in Ansals Highland Park, Daulatabad, Gurgaon",1.28 Cr,1940 sqft,Daulatabad,Semi-Furnished,1,4,Ansals Highland Park
"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",2.50 Cr,2000 sqft,Sector 79,Semi-Furnished,1,4,Bestech Altura
"3 BHK Flat for Sale in M3M Capital, Sector 113, Gurgaon",2.36 Cr,1300 sqft,Sector 113,Semi-Furnished,1,3,M3M Capital
"3 BHK Flat for Sale in Sector 55, Gurgaon",1.75 Cr,1800 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"3 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",4 Cr,1308 sqft,Sector 62,Semi-Furnished,2,3,Emaar Digi Homes
